#,Title,Company,URL,Location,State,Salary,Date Posted,Expiration Date
1,Scientist: Environmental Monitoring,Thermo Fisher Scientific,https://www.indeed.com/viewjob?jk=c2f81bf9d36f0898,"New Brunswick, NJ, US",NJ,$30,2026-01-30,N/A
2,"Scientist II, Brain Transport Biology",AbbVie,https://www.indeed.com/viewjob?jk=792fa365cc2a99e4,"Cambridge, MA, US",MA,N/A,2026-01-30,N/A
3,"Associate Director, AI Engineering",AbbVie,https://www.indeed.com/viewjob?jk=9d359b3dc36d449d,"Florham Park, NJ, US",NJ,N/A,2026-01-30,N/A
4,Scientist I - Biocompatibility,AbbVie,https://www.indeed.com/viewjob?jk=5034c3510ff0bcc5,"Branchburg, NJ, US",NJ,N/A,2026-01-30,N/A
5,"Experienced Scientist, Sample Logistics & Inventory Management",Johnson & Johnson,https://www.indeed.com/viewjob?jk=002c7410cd3b1154,"Spring House, PA, US",PA,N/A,2026-01-30,N/A
6,"Senior Principal Scientist II, In Silico Biologics",Johnson & Johnson,https://www.indeed.com/viewjob?jk=8d30a3dac18cdbef,"Spring House, PA, US",PA,"$137,000",2026-01-30,N/A
7,Organic Chemist Intern,Johnson & Johnson,https://www.indeed.com/viewjob?jk=d37fda0f1e9a34e2,"Spring House, PA, US",PA,N/A,2026-01-30,N/A
8,"Sr Director, Head of Data Science & Digital Health – Preclinical Sciences & Translational Safety (PSTS)",Johnson & Johnson,https://www.indeed.com/viewjob?jk=a3d66673be952035,"Spring House, PA, US",PA,"$196,000",2026-01-30,N/A
9,"Associate Director, US/Global Forecasting - Hampton, NJ","Celldex Therapeutics, Inc.",https://www.indeed.com/viewjob?jk=559fac218092d0a2,"Hampton, NJ, US",NJ,"$153,616",2026-01-30,N/A
10,"Associate Director, Market Research and Competitive Intelligence - Hampton, NJ","Celldex Therapeutics, Inc.",https://www.indeed.com/viewjob?jk=b5b2a69e65f4f1e3,"Hampton, NJ, US",NJ,"$153,616",2026-01-30,N/A
